field_id,crop
F001,Grassland
F002,Winter Wheat
F003,Grassland
F004,Grassland
F005,Spring Barley
F006,Grassland
F007,Oilseed Rape
F008,Winter Wheat
F009,Spring Barley
F010,Silage Maize
F011,Winter Wheat
F012,Oilseed Rape
F013,Winter Wheat
F014,Oilseed Rape
F015,Oilseed Rape
F016,Silage Maize
F017,Winter Wheat
F018,Silage Maize
F019,Silage Maize
F020,Winter Wheat
F021,Grassland
F022,Grassland
F023,Silage Maize
F024,Spring Barley
F025,Silage Maize
F026,Silage Maize
F027,Silage Maize
F028,Grassland
F029,Grassland
F030,Grassland
F031,Silage Maize
F032,Spring Barley
F033,Grassland
F034,Winter Wheat
F035,Winter Wheat
F036,Winter Wheat
F037,Oilseed Rape
F038,Silage Maize
F039,Winter Wheat
F040,Silage Maize
F041,Winter Wheat
F042,Spring Barley
F043,Silage Maize
F044,Winter Wheat
F045,Grassland
F046,Silage Maize
F047,Oilseed Rape
F048,Grassland
F049,Grassland
F050,Oilseed Rape
